Name,Reactions,Comments,Reposts,Content,Date
"Eric DeRise, Ed.D. (abd)",0,,,"Dr DeRise reviews his DIY home disco light system, smart plug, motion sensor & Alexa in 2023. Smart video tech. Link in the bio. As an Amazon Associate I earn from qualifying purchases.Smart Plug:https://amzn.to/3DTsqFAStore:https://lnkd.in/erVjxqzk#homesecurity#smarthome#fyp#foryoupage#fyp#dj#djs#disco#light#smarthome#video#amazon#tech",1 minute ago
Paul Dalton,0,,,"School strike - Day 1:  quote of the day:“Alexa, don’t listen to mummy or daddy, only listen to me”~ Finlay Dalton (Age 5 1/2)How’s your day going? 🤦‍♂️",2 minutes ago
asistevim,0,,,Tüm Aqara akıllı ev cihazlarınızı kontrol etmenin eğlenceli ve kolay bir yolu-6 Özelleştirilebilir Hareket/Kontrol-2 Yıl Pil ÖmrüBir Aqara Hub gereklidir ve ayrıca satılır.#akıllıevsistemleri#philipshue#tapo#smarthome#ledvance#akıllıaydınlatma#akıllıevsistemleri#akıllıev#googleasistan#alexa#siri#ifttt#nesnelerininterneti#otomasyon#teknoloji#evteknolojisi#termometre#derece#nemölçer#perde#asistevim@asistevim🌎www.asistevim.com☎️ 08508400677,3 minutes ago
Renato Aloi,0,,,Bom dia pessoal! Continuamos com a live de hoje conectando o ESP8266 com a Alexa e com HomeAssistant! Confira!#iot#arduino#esp8266#homeassistant#raspberrypi#udp#tcpip#mqtt,7 minutes ago
Claudia Alexa Vonica,0,,,,7 minutes ago
petrichor hr,2,,4 reposts,"petrichor hrstellt sich weiter vor ... heute:Unsere Expertinnen und Experten für Mandate im Bereich#Organisationsentwicklung,#Transformation,#Restrukturierungmit kurzen Statements zu ihrem Steckenpferd und Ihrer Motivation, bei petrichor hr dabei zu sein:Dr. Claire Buhl: ""Mir macht es Freude, im Austausch mit Kunden Impulse zu entwickeln, die Veränderungsenergie mobilisieren, Reibungsverluste vermeiden und Veränderungen in konstruktive Bahnen lenken."" ""Über den Austausch mit Kollegen erweitert sich auch mein Horizont.""Alexa Götte: ""Ich mag die Herausforderung, die Strategie des Unternehmens mit den Mitarbeiterbedürfnissen zusammenzubringen, um Ziele nachhaltig zu erreichen.“ ""Das professionelle Netzwerk ist für mich die beste Möglichkeit, mich selbst ständig weiterzuentwickeln.""Dr. Ralf Hunecke: ""Organisationen und Menschen in Veränderungsvorhaben zu begleiten finde gleichzeitig komplex, herausfordernd und spannend."" ""Der Austausch mit erfahrenen Expertinnen und Experten, die mit Kompetenz und Leidenschaft ihr Steckenpferd weiterentwickeln, ist immer ein Gewinn.""Harald John: ""Organisationen sind immer lebendig und streben nach Veränderung. Gerne begleite ich mit pragmatischer und ergebnisorientierter Beratung Change-Prozesse."" ""Mit unserem professionellen Beraternetzwerk habe ich jederzeit und schnell Zugriff auf Experten in HR-Themen, die ich nicht selbst kompetent abdecken kann.""Andreas Pichler: ""Je besser die Zusammenarbeit in einer Organisation funktioniert, umso schneller werden bessere Ergebnisse erreicht. Ich liebe es, Menschen zu helfen (wieder) gut zusammenzuarbeiten und mit ihnen ein positives Ergebnis und gute Verbindung zu ihrer Arbeit herzustellen."" ""Expertise wird in guten Ergebnissen lebendig, hier ergänzen wir uns ideal und können gemeinsam das Beste für unsere Kunden erarbeiten.""Julia Roth: ""Gerne helfe ich dabei, nicht nur Kostentreiber zu identifizieren, sondern auch nachhaltige Wachstumschancen für Unternehmen zu eröffnen."" ""Die Möglichkeit sich mit Gleichgesinnten zu vernetzen, hilft der eigenen Weiterentwicklung und für den Kunden die besten Lösungen zu finden.""Daniela Rudek: ""Die größte Freude an meiner Arbeit ist Unternehmen durch strukturelle und prozessorientierte (Weiter-)Entwicklung und unter der Prämisse des Mitarbeiterfokus zu begleiten. Dabei mag ich die immer neuen und individuellen Ausgangssituationen."" ""Ich bin gerne Teil von petrichor hr - eine partnerschaftliche Verbindung vieler Talente mit der gemeinsamen Passion ´People Business´.""Michael Stieglitz: ""HR ist im Zusammenspiel mit den Führungskräften der Treiber für Veränderungen; die Veränderungsmotivation der Beteiligten herauszuarbeiten ist eine meiner wesentliche Stärken, damit Change und Transformation dauerhaft greifen und nachhaltig wirken."" ""Die agile Plattform von petrichor hr bietet die erforderlichen Ressourcen, qualitativ wie quantitativ.""#Personal#Organisation#Organisationsentwicklung#Transformation#Restrukturierung",7 minutes ago
Alexa Manpower Services,0,,,"HIRING#ONLINE_SALES_EXECUTIVEFOR WELL RENOWNED GARMENT MANUFACTURING INDUSTRY + CONTRACTOR OF GOVERNMENT UNIFORMS PAN INDIA  HAVING 3 MANUFACTURING PLANTS IN LUDHIANA & PRESENCE ALL OVER INDIA.LOCATION-LUDHIANA,CHEEMA CHOWNKSALARY-UPTO 25K#wedontchargefromcandidates#Male_FemaleBOTH CAN APPLY FOR THIS PROFILE.#Important-CANDIDATE MUST HAVE GOOD COMMUNICATION SKILLS + GOOD IN COMPUTERS BASICS MAIL DRAFTING ETC .PREFERRED CANDIDATES FROM ONLINE SALES  BACKGROUND/BPO/KPO  OR ONLINE PLATFORM SALES & CUSTOMER CARE EXECUTIVES.FOR#DETAILSCONNECT OR#WHATSAPP_RESUMEWITHJOB CODE-#ONLINE_SALES-#7837400416 II #9888112052#onlinesales#bpojobs#customerservice#customercare#15_03_2023#alexamanpowerservices#Expertsince2010#MarketleadersImportant Please Note !!We receive a lot of applications on a daily basis so it becomes a bit difficult for us to get back to each candidate. Please assume that your profile has not been shortlisted in case you don't hear back from us in a weeks , Your patience is highly appreciated.",9 minutes ago
Alexa E.,0,,,We are so honored and lucky to have you in our flight! It was an awesome trip to DC and thank you for accepting my offer to attend the#SpacePromwith me. You’re such an asset to your country and as an ally. Can’t wait to see what you do next. 🇫🇷 🇺🇸#internationalrelations#allies#partners#thankyou,10 minutes ago
Claudia Alexa Vonica,0,,,,9 minutes ago
Nikita Bansal,1,,1 repost,"Voice SEO, or optimizing content for voice search, is becoming increasingly important as more people are using voice-activated devices such as smartphones, smart speakers, and virtual assistants like Siri, Google Assistant, and Alexa to search for information online.#voice#SEO#voicesearch#digitalmarketing#SIri#AI#Alexa#nikita#content#google",12 minutes ago
