Name,Reactions,Comments,Reposts,Content,Date
Chestnut Funds,0,,1 repost,"One of Chestnut's#opportunityzoneprojects is the proud recipient of theTennessee Department of Economic and Community DevelopmentTennessee Historic Development Grant. Cycle Shop is located in the#MemphisEDGE district and is an example of Chestnut's opportunity zone#impactpriorities: job creation, environmental stewardship, and equity in opportunity.",
Lillie Green,24,,14 reposts,"We have an exciting opportunity for you to join our Children’s Integration Team within Public Health Leicestershire as a Trauma Informed Schools Officer.The aim of the role is to support us in our mission to promote a trauma-sensitive community and build resilience throughout Leicestershire.Supporting our schools to become trauma sensitive will reduce the effect of trauma on individuals, families and communities and prevent re-traumatisation within the school setting.If you’re interested please take a look.#publichealth#community#schools#opportunity#traumainformed",
Grigoris Chatzikostas,1,,,"WATSONwill help the European food industry combat#foodfraudwith advanced technologies, including among others#blockchaintechnologyand#spectroscopy. We just kicked off the project in Dublin, many exciting news to come! Stay tuned!",1 minute ago
"Aeterra, LLC",1,,,"Aeterra, LLCis excited to announce our newest hire:Megan Watson! Megan will be joining our Due Diligence group in our Chicago office. She brings a wealth of experience in Phase I ESA's, compliance reviews, H&S assessments, and site investigation work. She is anASTM Internationalcommittee member and active in the Commercial Real Estate Women (CREW) network. Help us welcome Megan!",2 minutes ago
The Partnership for Active Travel and Health,0,,1 repost,"We need to adapt our transportation systems to fight climate change and build more inclusive societies! 🚶‍♀️ 🚲 🌍Looking for practical steps to make the transformation a reality?📰 Check out this article from PATH member, theWorld Resources Institute, detailing five recommendations from Systems Change Lab 👇https://lnkd.in/enE4EvRF",
PLA,2,,1 repost,"Tailor-made pallet programs, that fit your needs. Our programs guarantee pallet inventory, waste reduction, and increased revenue.#stayontopofitall#pallets#logistics#supplychainLearn more:https://hubs.ly/Q01DG8dY0",
Shujaat Hussain  Mir Nomal Gilgit CA/ICMA/CPA/ICAEW/ACCA/CMA/PIPFA/MBA/BBA/Bcom/Mcom,0,,,"GO AHEAD AND MAKE MISTAKES…Thomas Watson, first CEO of IBM, once said, “You can be discouraged by failure, or you can learn from it, so go ahead and make mistakes. Make all you can. Because remember that’s where you will find success—on the far side of failure.”He was so spot on.Life is never a smooth journey. In everything we do, we will certainly face obstacles, challenges, surprises, and hardships.Even with the best of planning, hiccups can happen.Education prepares us for the journey, but it is experience that will see us through.We learn more from our failures than from our successes.With acquired knowledge and wisdom, we are better able to handle future opportunities.If you have a dream, pursue it. Take that first step to see it come to reality. And don’t give up when you make mistakes. Learn from it and move on. The reward will certainly be worth the journey.What are some mistakes you’ve made that have made you stronger and wiser?Share in the comments below.Connect with me to know me better.",2 minutes ago
Pam McLeod,0,,,"What a great morning at theBritain's Energy Coast Business Clustershowcase event, new connections and some interesting speakers too, there is alot going on in the region!Adam PattisonArmstrong Watson#businessadvice#westCumbria#accountants",2 minutes ago
WTW,0,,,What complexities can you come across in the physical climate risk journey? These and other issues will be discussed in our upcoming lunchtime ESG webcast:http://ow.ly/cfGI50NiZC6#wtwESGinsight#wtwESG#climaterisk,3 minutes ago
Nikolas Krawinkel,1,,,"A big shout-out  to The Bank of London and it’s bid to buy SVB UK…Even if we lost vs. HSBC, I am very happy for the whole ecosystem - amazing outcome.I am also very much looking forward to see how AnthonyWatson Watson is continuing to innovate the banking industry",3 minutes ago
Steve Shenbaum,1,,,"THIS JUST IN!!!After 25 years of traveling the globe delivering teamwork and communication programs…we’re excited to host and deliver a LIVE event right here in our own backyard.Now Presenting YOU…is a game-changing, one-day training experience to enhance your presence, public speaking, and self-confidence. You will also discover a proven framework to enhance your presentation skills, giving you tan practical skills for the next level of your career.Now Presenting YOU…will provide a framework to enhance your public speaking and presentation skills through experiential learning and ourGame On Nationsignature S.P.O.T. communication framework.SET-UP and prepare for the presentation or conversation with excellencePRESENT with authentic confidence, charisma, and engagementOBSERVE and be present in the moment with the agility to adjustTAKE-AWAYS that inspire others to take actionSign up now and join us (Blair Bloomston,Jason Martinez,Erin Watson,Chris Friday,Laura Hahn) on MAY 19, 2023 - BRADENTON, FLLearn more and sign up here:https://lnkd.in/eMB5xgyE#communication#presentationskills#publicspeaking#teamwork",3 minutes ago
"Justin Wiedle, CPA",0,,,"Lifestyle spending accounts(LSAs) are an emerging benefit that can support employees' physical, mental, emotional, and financial health and wellness.With a recent Willis Towers Watson survey showing that >40% of employees value benefit options, this could be a way to give them what they desire.#employeebenefitss#lifestyleaccounts#wellness#choices#childcare#petinsurance#workfromhome",3 minutes ago
Kyle Watson,0,,,For any expats or students in my network that live in the Netherlands: you may be unsure if you're eligible to vote in today's elections. It's quite likely that you're at least able to vote for the water board:https://lnkd.in/eyyjhxdyHopefully you haven't discarded your Stempas! Don't take democracy for granted!,4 minutes ago
HMT Publicidad,0,,,"Jenna Ortega tuvo miedo de ser una nueva Emma Watson: Jenna Ortega rechazó por meses hacer ""Merlina"" porque no quería ser encasillada. Estaba cansada de la TV y quería ""hacer películas"".",4 minutes ago
WTW,0,,,Stakeholder pressure is leading to an increase in number of Swedish companies introducing ESG measures to their LTI. Our 2022 LTI report takes a deeper dive into the evolution of LTI plans over the past three years. Download report.http://ow.ly/cxb550NbGWu#ExecComp#LongTermIncentives#WTWSweden,4 minutes ago
Motivating Tips,574,15 comments,473 reposts,,
InCheck,1,,1 repost,Improve your workplace productivity and safety by putting a comprehensive pre-employment drug screening program in place. InCheck offers multiple options for national pre-employment and employment drug testing for companies of all sizes. Contact InCheck today to learn more:https://hubs.ly/Q01GkzgZ0,
Tony W.,1,,,Super Six Series In Person Conferences 2023 The Future of Cyber Security2023 Sponsor#Threatlockerwww.threatlocker.comIn Person Conference Video Highlightshttps://bit.ly/3wXcKxhManchester 2nd February 2023Sponsorship Enquiriestony@cng.events#AgileDeliveryLead#ApplicationsDevelopmentManager#CEO#CIO#CISO#CloudSecurityEngineer#CloudSupportManager#CoreInfrastructureManager#CommunicationsDirector#CSO#CTO#CyberSecurityAnalyst#DataAnalyst#DevOpsEngineer#DevSecOps#DirectorofAVServices#DirectorofDigitalTransformation#GlobalDevelopmentManager#HeadofAutomation#HeadofDataScience#HeadofInfrastructure#HeadofIT#HeadofSoftwareDevelopment#HeadofUCandCProduct#InfosecManager#ITDirector#ITEngineer#ITSystemsManager#NetworkEngineer#NetworkSecurityEngineer#PrincipalConsultant#ProcurementManager#SAPDeliveryAnalyst#SecurityEngineer#SeniorDataArchitect#SoftwareDeveloper#SolutionArchitect#SystemsEngineer#TechnicalLead#TechnicalOperationsManager#cyber#cybersecurity#infosec#infosecurity#malware#ddosattack#hacking#ransomware#Manchester#Newcastle#London,7 minutes ago
Kathryn Erdahl,17,,5 reposts,"Hello from Coventry, UK!Day 1 of the Counterfeit Electronics and Materials Symposium is here! 🎉Learn more about the symposium HERE:https://lnkd.in/g-yBBJMp#smta#counterfeitelectronics",
Virgin Media Business,19,4 comments,7 reposts,"A huge thanks to everyone who joined us at our Wholesale Kick-off 2023 this week. One of the highlights of the event was our awards ceremony, where we recognised some truly outstanding Partners. We’re thrilled to announce that the winner of our Collaboration Partner of the Year award is….Talk Straight Group! 🏆Thanks for taking pride in your partnership with us and for putting honesty and transparency at the heart of your business. Congratulations, Talk Straight 👏Check out all our awards and winners here➡️https://vmo2.co/3L6zFOT#WholesalePartnerKickOffEvent#CollaborationPartnerOfTheYear#Event#Awards#Partnerships",
Mark Watson,0,,,With link to Thatcher’s speech:https://lnkd.in/e-fMgHvr,11 minutes ago
Freddie Roe,79,,3 reposts,First day up and running here at#DSEIJAPAN🇯🇵Astute Electronics Ltd,
