Name,Reactions,Comments,Reposts,Content,Date
LinkedIn News Europe,399,27 comments,12 reposts,"Welcome to the Wrap-Up – your summary of the day's top news and talking points, curated by LinkedIn News Europe. Check out the slideshow below and click or swipe to view the next item.💡 Share your views on today's topics in the comments below.👉 Working women most likely to succeed in northern Europe —The Economisthttps://lnkd.in/eAUzvhgu👉 Artificial intelligence added to writing staff of UK news groupReach plc—The Guardianhttps://lnkd.in/e3F2r7YY👉 How to incorporate humour in a presentation —Adel Maymoonhttps://lnkd.in/dwgFX6Hw👉 Stepping away from screens – no matter how long – is a win. ReadRyan Hopkins's idea of the dayhttps://lnkd.in/d7Rd6Yae👉 Today's debate: How can you be an ally on International Women's Day?John Amaechi OBEweighs inhttps://lnkd.in/djkDmB4u🗳️ Poll of the Week: What is the ideal length of leave? Cast your vote here and check Friday's Wrap-Up for the results:https://lnkd.in/gTJx2_GN#TheWrapUp",6 days ago
Javier M Floren,59,5 comments,4 reposts,"AI is not knly for images and marketing copies and play with chatGPT.Hats off to the team eso implemented this tech in this case. It saves lives.CNN's Poppy Harlow speaks with Dr. Larry Norton, the medical director of the Lauder Breast Center at the Memorial Sloan Kettering Cancer Center, about the use of artificial intelligence in breast cancer detection.#ai#artificialintelligence",8 hours ago
Juan Luis Cano Rodríguez,30,4 comments,,"""Microsoft laid off its entire ethics and society team within the artificial intelligence organization as part of recent layoffs that affected 10,000 employees across the company, Platformer has learned.""""on March 6, remaining employees were told to join a Zoom call at 11:30AM PT to hear a “business critical update” from Montgomery. During the meeting, they were told that their team was being eliminated after all.""I have no words.",14 hours ago
José Parra (Chema Parsanz),62,6 comments,,"In November of last year, I barely had 1000 contacts on linkedin. I know many of them in person and there are many followers spread all over the world.When I started working with artificial intelligence and unleashing my creativity with these powerful tools, my ideas reached more people. Many of them sent me emails, good comments and invitations to collaborate in events, interviews and publications.Literally thousands of people contacted me. I am sorry that I have not been able to respond to everyone as they deserve, but sometimes I had to attend to urgent issues, devouring my free time.Today I want to thank all those who follow me on this social network and who are interested in what I do.Thanks to everyone who values my work 🙏#community#people#artificialinspiration#aiart#Midjourney#artificialintelligence#Technology#midjourneyart#midjourneyai#ai#aivisual#airender#aiexplorers#conceptart#aiartwork#aiartcommunity#aidesign#designinnovation#aicreativity#technology#innovation#Creativity#digitalmarketing#inteligenciaartificial#aigeneratedart#artexploration#imagination#design#inspiration",12 hours ago
Tatiana Caldas-Löttiger,29,4 comments,1 repost,"Even though Artificial Intelligence has been around for six decades, it’s not until this decade that technological progress has made automation possible for the rapid implementation we see today. However, as experts in the field have noted, the risks are inimaginable if not regulated and developed in an ethical and compliant way.🌟 I am excited to speak about this topic in the context of the upcoming European AI Act, together withGeert Vermeulenat the 11th Annual  Annual European Compliance & Ethics Institute (ECEI), and members of theSociety of Corporate Compliance and Ethics (SCCE).🌷See you next week in Amsterdam!#ethicalai#compliance#ethics#ai#machinelearning#eu",13 hours ago
Allie K. Miller,569,47 comments,64 reposts,"Here’s a helpful hack to multiply your insights with artificial intelligence for free.This new tool allows you to compare how different AI systems fromOpenAI,Anthropic,Hugging Face,Cohere, andGooglehandle the same question.Submit one prompt.Get multiple answers.Try it for yourself here:nat.dev",5 hours ago
Pat Gelsinger,"1,059",42 comments,16 reposts,"Last week I returned to my community college origins to receive an Honorary Associate Degree in Artificial Intelligence fromHouston Community College.Thank you Chancellor Dr.Cesar Maldonado, andDr. Madeline Burillo-Hopkins, Vice Chancellor of Workforce Instruction/President Southwest College for this honor. Intel and HCC are leading the way in reskilling the American workforce and democratizing#AI. I’m truly proud to be part of this journey.#IAmIntel#AIforWorkforce",1 day ago
Salomé Lannier,22,2 comments,3 reposts,"Hi network!I am happy to share my first English paper, published by eucrim! A big thanks toAnna Pingenfor her help!In a nutshell: (human trafficking + artificial intelligence) x US = questioning European sovereigntiesDon't hesitate to contact me if you have any feedback on this paper/topic!Here is the full abstract: Human trafficking is keeping pace with new technologies, but so is its repression. Nowadays, artificial intelligence (AI) systems support the daily work of law enforcement authorities in detecting and investigating trafficking schemes. These systems were developed, and are used primarily, in the United States of America (US). As the fight against human trafficking is a worldwide priority, they are often exported from the US or replicated. Yet, so far, little research has been done to examine how (US) policies and values might be embedded in these specific systems. This article argues that the spread of US tools using artificial intelligence to combat human trafficking hinders the autonomy of foreign States. Particularly in the European context, these tools might challenge national criminal sovereignty as well as Europe’s digital sovereignty. The article highlights the US policies surrounding human trafficking that are embedded in these AI systems (legal definition, political priorities and decisions) and the lack of adequate consideration of existing European standards. These are meant to protect human rights while developing and using AI systems, i‧e. the protection of personal data and control over technical standards.Here is the full paper:https://lnkd.in/ddAjppw6Spoiler alert: another paper should be published soon on the European regulation of this kind of algorithm (although in French this time)!#humantrafficking#ai#sovereignty#legal#research",16 hours ago
Francisco Gil Amorós,22,5 comments,2 reposts,👋 ¡Hola a todos!Me complace compartir con ustedes una herramienta que he creado para ayudar a identificar productos y versiones afectadas por vulnerabilidades conocidas. 🐛He utilizado Python y la biblioteca de inteligencia artificial OpenAI (ChatGPT) para crear un script que busca y genera una lista de productos y versiones afectadas. 🤖El código fuente y la documentación están disponibles en mi repositorio de GitHub en el siguiente enlace:🔗https://lnkd.in/dW5xtdYKSi trabajas en seguridad informática te animo a probar este pequeño ejemplo y compartir tus comentarios.¡Gracias por su atención y espero que les sea útil! 🔥----------English (DeepL)👋 Hello everyone!I'm pleased to share with you a tool I created to help identify products and versions affected by known vulnerabilities. 🐛I have used Python and the OpenAI artificial intelligence library (ChatGPT) to create a script that searches and generates a list of affected products and versions. 🤖The source code and documentation are available in my GitHub repository at the following link:🔗https://lnkd.in/dW5xtdYKIf you work in IT security I encourage you to try this small example and share your feedback.Thanks for your attention and I hope you find it useful! 🔥#python#github#ai#chatgpt#cve#security,8 hours ago
Sara Tamame Tercero,18,1 comment,,I have just complete this course!! A very nice introduction about the possibilities of Artificial Intelligence applied to medicine and healthcare. A complete world to discover!,1 day ago
