Name,Reactions,Comments,Reposts,Content,Date
Nakshatech Pvt Ltd,8,,,This is howTeslaautopilot sees on the road..!#informationtechnology#automotive#news#info#geospatial#nakshatech,1 hour ago
EVMagz,0,,,US Transport Secretary Criticizes Naming of Tesla’s Autopilot as Misleading to Drivershttps://lnkd.in/giuuadXB,4 hours ago
First Vehicle Leasing,4,,,"Universally accepted as one of the finest all-electric cars available right now. The Tesla Model 3 must be in your top 3 (#sorrynotsorry) if you're looking for a new EV ⚡.In standard trim, the latest Model 3 can see 62 mph in only 5.8 seconds, has a top speed of 140mph, and has a theoretical range of 305 miles from a single charge. These kinds of figures could make more expensive EVs blush.😳The Model 3 comes with Telsa's legendary infotainment system, a full glass roof with UV protection, power-folding mirrors, an uprated audio system and 12-way power seats with front seat heating. If more is needed, all Tesla Model 3's come with Autopilot as standard, letting the car steer, accelerate and brake automatically for other vehicles within their lane. 🛣️The glass room lets light flood the cabin, with enough room for the family and a highly generous rear leg room. The boot is also a very healthy 542 litres - about enough space for 9 'carry-on' airline cases!  💼The top charging speed of 170kW means that from a supercharger; you can top up from 0 to 80% state of charge in only 21 minutes. ⏰Tap the link to secure yours today👉https://lnkd.in/e_5JzrxFOther mileages and terms are available. Terms and conditions apply. First Vehicle Leasing, a trading style of Tilsun Leasing Ltd, is a credit broker, not a lender. We work with a panel of carefully selected lenders. The lender we introduce you to may pay us a commission or introductory sum to facilitate the lease agreement. The sum paid may have an impact on your monthly rental payments. Should you wish to know what monies we make to facilitate the agreement, please emailadmin@fvl.co.uk. Images are for illustration only. You will not own the vehicle.#myfvl#carleaseuk#swiperight#newcarday#carleasingdeals#uksmallbusiness#evuk#lease#carleasinguk#carsofinstagram#NewWheels#newcar",4 hours ago
john lindland,0,,,TuSimple Shifts from Level 4 Autonomy to Level 2 Autonomy.https://lnkd.in/gmsVtbgC#tesla#elonmusk#driverlesscars#driverlesscars#driverless#autonomousvehicles#selfdrivingcars#autonomous#autonomousdriving#selfdriving#adas#autonomousvehicle#driverlessvehicles#teslamotors#autopilot#autonomouscar#nhtsa#ntsb#AI#machinelearning#waymo#artificialintelligence#machinelearning#deeplearning#waymo#cruise#argo#tusimple#navistar#traton#international#ford#autonomousvehicles#robotaxi#autonomoustrucks#trucking#transportation#riskmanagement#safety#ADS#automotive#perception#Stellantis#av#selfdrivingcars#robotics#argoai,7 hours ago
🚗 Jim Funke ⚡️,0,,,,10 hours ago
Benjamin Treuhaft,5,3 comments,,"Oh, my.More problems with Tesla’s software.As if their Autopilot isn’t a big enough problem for everyone on the road, now their cybersecurity has been proven garbage.Elon would be well advised to open source the software, as then it might have a chance of becoming safe (not that this will do anything for the build quality of the vehicles or their sensors).And yet investors dump money into the company, and the government offers tax incentives without software assurance requirements?What does this mean for Musk’s other companies, like SpaceX and Starlink?This is messed up.",12 hours ago
Autoblog,0,,,,12 hours ago
Seven Skies International Malaysia,1,,,"Fakhirah Khairuddin made Malaysia proud for landing a job at Tesla, the famous car brand that created the autopilot driving mode..Now living in Fremont, California working as a robotics engineer for Tesla..Fakhirah started her humble beginnings as the alumni for MARA Junior Science College (MRSM) Ulul Albab (Besut) before receiving a scholarship award from MARA to study at the University California San Diego (UCSD) upon graduation..After completing her Bachelor’s Degree in mechanical and aerospace engineering, she received another scholarship from the university to pursue a Master’s Degree, which paved her way to land the job at Tesla..Fakhirah has proven that in fact, the sky is NOT the limit! Aim for the stars and shoot for your dreams, students!#inspiring#malaysian#tesla#engineer#sevenskies#sevenskiesinternational#internationalschools#denaialam#shahalam#selangor#characterbeforeexcellence",13 hours ago
Audrey Dépault,23,,2 reposts,"I'm excited to share a new opportunity to accelerate the world's transition to sustainable energy and vehicle automation.Tesla is looking for a highly motivated individual in the Greater Toronto and Hamilton Area (GTHA), to accelerate our vehicle-level testing for all current and future Autopilot features on the path to full self-driving in Canada.The ADAS Test Operator will be responsible to identify improvements and regressions across software iterations. A strong candidate will be objectively focused when making judgements, highly organized with a great attention to detail, and a self-starter. If that sounds like you or someone you may know, follow the link below!https://lnkd.in/gS2Frik4#autonomousvehicles#Tesla#career#jobs#Toronto#Ontario",14 hours ago
🚗 Jim Funke ⚡️,0,,,"Tesla Autopilot doesn’t live up to its name, DOT's Buttigieg says",10 hours ago
